set_num,lego_info,value
1075-1,num_parts,256
1075-1,theme_id,511
1076-1,num_parts,228
1076-1,theme_id,207
1076-10,theme_id,217
1076-10,num_parts,10
1076-11,theme_id,217
1076-11,num_parts,5
1076-12,theme_id,217
1076-12,num_parts,8
1076-13,theme_id,217
1076-13,num_parts,9
1076-14,theme_id,217
1076-14,num_parts,10
1076-15,num_parts,8
1076-15,theme_id,217
1076-16,num_parts,12
1076-16,theme_id,217
1076-17,num_parts,10
1076-17,theme_id,217
1076-18,theme_id,217
1076-18,num_parts,10
1076-19,theme_id,217
1076-19,num_parts,10
1076-2,theme_id,217
1076-2,num_parts,11
1076-20,num_parts,8
1076-20,theme_id,217
1076-21,num_parts,10
1076-21,theme_id,217
1076-22,num_parts,11
1076-22,theme_id,217
1076-23,num_parts,12
1076-23,theme_id,217
1076-24,num_parts,10
1076-24,theme_id,217
1076-25,theme_id,217
1076-25,num_parts,11
1076-3,theme_id,217
1076-3,num_parts,11
1076-4,theme_id,217
1076-4,num_parts,7
1076-5,theme_id,217
1076-5,num_parts,8
1076-6,theme_id,217
1076-6,num_parts,9
1076-7,theme_id,217
1076-7,num_parts,12
1076-8,theme_id,217
1076-8,num_parts,10
1076-9,num_parts,8
1076-9,theme_id,217
1077-1,theme_id,528
1077-1,num_parts,170
108-1,theme_id,243
108-1,num_parts,1
10801-1,theme_id,504
10801-1,num_parts,13
10802-1,theme_id,504
10802-1,num_parts,15
10803-1,theme_id,504
10803-1,num_parts,32
10804-1,theme_id,504
10804-1,num_parts,86
10805-1,num_parts,148
10805-1,theme_id,504
10806-1,theme_id,504
10806-1,num_parts,20
10808-1,num_parts,13
10808-1,theme_id,504
10810-1,theme_id,504
10810-1,num_parts,46
10813-1,num_parts,48
10813-1,theme_id,504
10814-1,theme_id,504
10814-1,num_parts,26
10818-1,num_parts,29
10818-1,theme_id,504
10820-1,theme_id,504
10820-1,num_parts,110
10824-1,theme_id,504
10824-1,num_parts,23
10825-1,theme_id,504
10825-1,num_parts,37
10827-1,num_parts,48
10827-1,theme_id,504
10829-1,theme_id,504
10829-1,num_parts,18
1083-1,num_parts,106
1083-1,theme_id,534
10830-1,theme_id,504
10830-1,num_parts,27
10831-1,theme_id,504
10831-1,num_parts,19
10847-1,theme_id,504
10847-1,num_parts,19
10849-1,num_parts,10
10849-1,theme_id,504
10852-1,theme_id,504
10852-1,num_parts,7
1088-1,theme_id,87
1088-1,num_parts,25
1089-1,theme_id,534
1089-1,num_parts,24
1090-1,theme_id,1
1090-1,num_parts,397
1092-1,theme_id,1
1092-1,num_parts,467
10937-1,num_parts,1619
10937-1,theme_id,484
1094-1,num_parts,13
1094-1,theme_id,297
1095-1,theme_id,311
1095-1,num_parts,24
1096-1,num_parts,23
1096-1,theme_id,82
1097-1,theme_id,92
1097-1,num_parts,18
1098-1,num_parts,19
1098-1,theme_id,87
1099-1,theme_id,434
1099-1,num_parts,24
11-2,theme_id,433
11-2,num_parts,31
11-3,num_parts,8
11-3,theme_id,456
110-1,theme_id,469
110-1,num_parts,129
1100-1,theme_id,68
1100-1,num_parts,110
1101-1,theme_id,443
1101-1,num_parts,1
1102-1,num_parts,4
1102-1,theme_id,456
1103-1,num_parts,1
1103-1,theme_id,443
1103-2,theme_id,517
1103-2,num_parts,521
1104-1,theme_id,443
1104-1,num_parts,2
1105-1,theme_id,443
1105-1,num_parts,2
1106-1,num_parts,2
1106-1,theme_id,456
1106-2,num_parts,413
1106-2,theme_id,470
1107-1,num_parts,4
1107-1,theme_id,456
1108-1,num_parts,4
1108-1,theme_id,456
1109-1,num_parts,4
1109-1,theme_id,456
111-1,num_parts,173
111-1,theme_id,469
111-2,num_parts,118
111-2,theme_id,235
1110-1,num_parts,8
1110-1,theme_id,456
1111-1,num_parts,8
1111-1,theme_id,456
1112-1,num_parts,2
1112-1,theme_id,456
1113-1,num_parts,5
1113-1,theme_id,443
1114-1,num_parts,1
1114-1,theme_id,443
1115-1,num_parts,1
1115-1,theme_id,443
1116-1,theme_id,443
1116-1,num_parts,25
1118-1,theme_id,443
1118-1,num_parts,1
1119-1,theme_id,456
1119-1,num_parts,6
112-1,theme_id,469
112-1,num_parts,200
112-2,num_parts,74
112-2,theme_id,235
1120-1,theme_id,443
